X,Y,Z,Value
24,33,12,3.441
23,32,12,2.804
24,32,12,2.505
22,31,12,3.506
23,31,12,3.459
23,30,12,3.551
24,34,11,5.094
25,34,11,5.417
23,33,11,4.303
24,33,11,4.691
25,33,11,3.985
22,32,11,5.759
23,32,11,4.405
24,32,11,4.093
25,32,11,2.565
21,31,11,5.327
22,31,11,4.808
23,31,11,4.317
24,31,11,3.312
22,30,11,4.511
23,30,11,4.513
24,30,11,3.52
23,29,11,4.525
24,28,11,3.842
24,35,10,5.41
25,35,10,5.329
23,34,10,3.874
24,34,10,5.345
25,34,10,5.08
26,34,10,5.493
22,33,10,5.594
23,33,10,4.825
24,33,10,5.134
25,33,10,3.723
26,33,10,3.289
21,32,10,5.5
22,32,10,5.865
23,32,10,5.044
24,32,10,5.108
25,32,10,3.319
26,32,10,2.261
20,31,10,3.997
21,31,10,5.055
22,31,10,5.357
23,31,10,4.705
24,31,10,4.444
25,31,10,2.786
21,30,10,3.932
22,30,10,4.469
23,30,10,5.032
24,30,10,4.327
25,30,10,3.192
22,29,10,4.444
23,29,10,5.202
24,29,10,5.134
23,28,10,4.587
24,28,10,5.498
25,28,10,8.595
24,27,10,4.234
25,27,10,6.067
24,36,9,5.122
25,36,9,5.457
23,35,9,5.071
24,35,9,5.994
25,35,9,6.565
26,35,9,7.304
22,34,9,5.878
23,34,9,4.809
24,34,9,6.411
25,34,9,6.916
26,34,9,7.46
27,34,9,8.447
21,33,9,6.309
22,33,9,6.844
23,33,9,5.864
24,33,9,7.945
25,33,9,5.337
26,33,9,3.875
27,33,9,4.472
20,32,9,6.301
21,32,9,6.787
22,32,9,6.828
23,32,9,6.15
24,32,9,6.838
25,32,9,4.177
26,32,9,2.69
27,32,9,3.612
19,31,9,4.905
20,31,9,5.987
21,31,9,6.263
22,31,9,6.383
23,31,9,5.382
24,31,9,5.51
25,31,9,3.591
26,31,9,2.862
20,30,9,4.813
21,30,9,5.231
22,30,9,5.586
23,30,9,6.113
24,30,9,5.876
25,30,9,4.677
26,30,9,2.89
21,29,9,4.97
22,29,9,4.974
23,29,9,5.355
24,29,9,6.436
25,29,9,6.24
22,28,9,5.078
23,28,9,5.12
24,28,9,5.419
25,28,9,8.426
26,28,9,7.642
23,27,9,5.355
24,27,9,4.454
25,27,9,5.325
26,27,9,7.991
24,26,9,4.232
25,26,9,3.813
24,37,8,9.621
25,37,8,7.783
23,36,8,11.41
24,36,8,10.591
25,36,8,6.849
26,36,8,7.055
22,35,8,7.082
23,35,8,8.583
24,35,8,8.05
25,35,8,7.447
26,35,8,7.407
27,35,8,8.24
21,34,8,7.225
22,34,8,6.628
23,34,8,6.056
24,34,8,8.166
25,34,8,8.646
26,34,8,8.606
27,34,8,7.744
28,34,8,6.986
20,33,8,9.296
21,33,8,8.387
22,33,8,7.073
23,33,8,7.085
24,33,8,8.685
25,33,8,7.38
26,33,8,5.307
27,33,8,5.085
28,33,8,5.657
19,32,8,10.334
20,32,8,8.722
21,32,8,8.125
22,32,8,7.592
23,32,8,7.592
24,32,8,8.23
25,32,8,6.39
26,32,8,4.343
27,32,8,4.276
28,32,8,4.926
18,31,8,10.098
19,31,8,8.212
20,31,8,8.318
21,31,8,7.966
22,31,8,7.329
23,31,8,7.085
24,31,8,6.928
25,31,8,5.334
26,31,8,4.096
27,31,8,4.133
19,30,8,5.8
20,30,8,6.4
21,30,8,6.688
22,30,8,7.29
23,30,8,7.855
24,30,8,7.175
25,30,8,5.78
26,30,8,4.816
27,30,8,4.265
20,29,8,5.591
21,29,8,6.322
22,29,8,7.213
23,29,8,6.695
24,29,8,6.173
25,29,8,5.925
26,29,8,5.456
21,28,8,6.008
22,28,8,5.568
23,28,8,6.264
24,28,8,6.589
25,28,8,6.679
26,28,8,6.338
27,28,8,3.808
22,27,8,5.452
23,27,8,6.107
24,27,8,6.497
25,27,8,6.287
26,27,8,6.259
27,27,8,5.15
23,26,8,5.86
24,26,8,6.561
25,26,8,6.169
26,26,8,5.62
24,25,8,5.674
25,25,8,5.113
24,38,7,8.065
25,38,7,6.045
23,37,7,11.78
24,37,7,10.712
25,37,7,7.663
26,37,7,6.737
22,36,7,11.676
23,36,7,14.297
24,36,7,13.933
25,36,7,8.59
26,36,7,6.831
27,36,7,8.305
21,35,7,8.38
22,35,7,9.632
23,35,7,12.538
24,35,7,12.775
25,35,7,8.449
26,35,7,6.363
27,35,7,7.054
28,35,7,7.456
20,34,7,10.437
21,34,7,10.933
22,34,7,10.634
23,34,7,10.401
24,34,7,9.741
25,34,7,9.153
26,34,7,7.758
27,34,7,5.517
28,34,7,7.221
29,34,7,7.011
19,33,7,11.192
20,33,7,12.614
21,33,7,13.67
22,33,7,11.523
23,33,7,7.629
24,33,7,9.48
25,33,7,8.422
26,33,7,6.778
27,33,7,5.579
28,33,7,5.982
29,33,7,5.877
18,32,7,11.101
19,32,7,12.653
20,32,7,13.202
21,32,7,10.442
22,32,7,7.864
23,32,7,8.046
24,32,7,9.075
25,32,7,7.717
26,32,7,6.478
27,32,7,4.783
28,32,7,3.637
29,32,7,4.758
17,31,7,7.62
18,31,7,10.827
19,31,7,12.783
20,31,7,9.972
21,31,7,8.645
22,31,7,7.147
23,31,7,7.864
24,31,7,7.864
25,31,7,6.935
26,31,7,6.165
27,31,7,5.226
28,31,7,4.366
18,30,7,9.08
19,30,7,8.327
20,30,7,7.129
21,30,7,7.483
22,30,7,7.603
23,30,7,7.919
24,30,7,7.995
25,30,7,6.833
26,30,7,6.547
27,30,7,5.828
28,30,7,5.017
19,29,7,5.929
20,29,7,6.086
21,29,7,7.156
22,29,7,8.201
23,29,7,8.517
24,29,7,6.926
25,29,7,6.328
26,29,7,6.6
27,29,7,5.189
20,28,7,5.994
21,28,7,6.698
22,28,7,7.483
23,28,7,7.707
24,28,7,7.108
25,28,7,5.507
26,28,7,5.517
27,28,7,4.497
28,28,7,4.131
21,27,7,6.621
22,27,7,7.144
23,27,7,8.032
24,27,7,7.954
25,27,7,6.769
26,27,7,5.701
27,27,7,4.942
28,27,7,4.301
22,26,7,7.013
23,26,7,7.875
24,26,7,8.252
25,26,7,7.627
26,26,7,6.077
27,26,7,5.203
23,25,7,7.613
24,25,7,7.822
25,25,7,7.444
26,25,7,6.232
24,24,7,5.136
25,24,7,6.374
24,39,6,5.3
25,39,6,3.437
23,38,6,8.143
24,38,6,6.736
25,38,6,4.09
26,38,6,4.364
22,37,6,9.603
23,37,6,9.499
24,37,6,6.985
25,37,6,4.756
26,37,6,6.398
27,37,6,7.207
21,36,6,8.651
22,36,6,10.008
23,36,6,11.311
24,36,6,11.233
25,36,6,8.588
26,36,6,9.123
27,36,6,8.161
28,36,6,5.92
20,35,6,8.962
21,35,6,9.107
22,35,6,9.916
23,35,6,12.732
24,35,6,14.076
25,35,6,12.213
26,35,6,8.083
27,35,6,6.533
28,35,6,8.108
29,35,6,5.683
19,34,6,8.245
20,34,6,9.94
21,34,6,10.475
22,34,6,11.87
23,34,6,13.67
24,34,6,14.064
25,34,6,10.677
26,34,6,6.416
27,34,6,4.175
28,34,6,7.691
29,34,6,6.972
30,34,6,4.938
18,33,6,8.102
19,33,6,10.136
20,33,6,11.376
21,33,6,13.045
22,33,6,14.14
23,33,6,12.928
24,33,6,10.274
25,33,6,8.514
26,33,6,6.492
27,33,6,4.889
28,33,6,5.618
29,33,6,6.607
30,33,6,6.321
17,32,6,6.903
18,32,6,10.553
19,32,6,12.575
20,32,6,12.017
21,32,6,10.285
22,32,6,8.957
23,32,6,8.085
24,32,6,8.867
25,32,6,8.018
26,32,6,6.921
27,32,6,4.666
28,32,6,2.987
29,32,6,5.279
30,32,6,5.93
16,31,6,2.354
17,31,6,6.903
18,31,6,10.449
19,31,6,12.992
20,31,6,14.076
21,31,6,9.609
22,31,6,6.575
23,31,6,7.525
24,31,6,7.838
25,31,6,7.34
26,31,6,6.751
27,31,6,5.485
28,31,6,4.249
29,31,6,4.21
17,30,6,5.118
18,30,6,8.455
19,30,6,10.177
20,30,6,8.81
21,30,6,7.717
22,30,6,7.472
23,30,6,7.605
24,30,6,7.031
25,30,6,6.833
26,30,6,7.17
27,30,6,7.209
28,30,6,5.279
29,30,6,3.363
18,29,6,6.813
19,29,6,6.958
20,29,6,6.451
21,29,6,7.156
22,29,6,7.875
23,29,6,8.021
24,29,6,6.236
25,29,6,5.456
26,29,6,6.884
27,29,6,6.19
28,29,6,5.798
19,28,6,4.325
20,28,6,5.538
21,28,6,6.517
22,28,6,6.935
23,28,6,7.407
24,28,6,7.186
25,28,6,5.572
26,28,6,4.516
27,28,6,5.369
28,28,6,5.289
29,28,6,3.073
20,27,6,4.677
21,27,6,6.073
22,27,6,6.962
23,27,6,7.627
24,27,6,7.785
25,27,6,6.04
26,27,6,3.799
27,27,6,3.863
28,27,6,5.342
29,27,6,3.751
21,26,6,6.02
22,26,6,6.831
23,26,6,7.966
24,26,6,8.722
25,26,6,7.719
26,26,6,4.996
27,26,6,3.914
28,26,6,4.12
22,25,6,6.139
23,25,6,8.291
24,25,6,9.685
25,25,6,9.137
26,25,6,5.985
27,25,6,4.096
23,24,6,7.103
24,24,6,8.81
25,24,6,8.784
26,24,6,7.091
24,23,6,2.084
25,23,6,2.215
24,40,5,3.788
25,40,5,3.202
23,39,5,5.731
24,39,5,4.701
25,39,5,3.568
26,39,5,3.698
22,38,5,6.67
23,38,5,6.345
24,38,5,4.821
25,38,5,3.765
26,38,5,3.843
27,38,5,5.459
21,37,5,6.774
22,37,5,8.092
23,37,5,7.154
24,37,5,5.318
25,37,5,4.705
26,37,5,4.378
27,37,5,2.867
28,37,5,3.128
20,36,5,6.956
21,36,5,7.595
22,36,5,8.613
23,36,5,9.787
24,36,5,9.331
25,36,5,7.793
26,36,5,6.178
27,36,5,5.032
28,36,5,4.082
29,36,5,3.481
19,35,5,5.808
20,35,5,7.855
21,35,5,7.816
22,35,5,9.238
23,35,5,12.342
24,35,5,13.373
25,35,5,10.937
26,35,5,6.194
27,35,5,6.312
28,35,5,8.291
29,35,5,5.957
30,35,5,3.518
18,34,5,4.297
19,34,5,6.76
20,34,5,9.107
21,34,5,9.785
22,34,5,11.844
23,34,5,13.345
24,34,5,13.751
25,34,5,11.68
26,34,5,6.586
27,34,5,4.645
28,34,5,7.497
29,34,5,7.168
30,34,5,4.248
31,34,5,0.35
17,33,5,3.176
18,33,5,6.591
19,33,5,8.47
20,33,5,9.227
21,33,5,10.009
22,33,5,11.521
23,33,5,12.824
24,33,5,13.764
25,33,5,10.195
26,33,5,6.012
27,33,5,3.746
28,33,5,4.202
29,33,5,6.139
30,33,5,6.437
31,33,5,1.98
16,32,5,0.986
17,32,5,6.525
18,32,5,10.136
19,32,5,11.26
20,32,5,9.646
21,32,5,8.03
22,32,5,8.773
23,32,5,8.63
24,32,5,9.596
25,32,5,8.175
26,32,5,6.518
27,32,5,4.188
28,32,5,3.224
29,32,5,5.514
30,32,5,6.282
31,32,5,4.952
15,31,5,-4.018
16,31,5,1.977
17,31,5,6.356
18,31,5,10.071
19,31,5,12.158
20,31,5,11.743
21,31,5,9.451
22,31,5,7.576
23,31,5,6.496
24,31,5,5.832
25,31,5,6.872
26,31,5,7.091
27,31,5,5.604
28,31,5,4.186
